Injected Error,XOR Checksum Detected,CRC-16 Detected,XOR Time (ms),CRC Time (ms),XOR Retransmissions,CRC Retransmissions
False,True,True,0.0026226043701171875,0.04482269287109375,0,0
True,False,False,0.00286102294921875,0.046253204345703125,1,1
False,True,True,0.002384185791015625,0.04696846008300781,1,1
True,False,False,0.002384185791015625,0.04363059997558594,2,2
False,True,True,0.0064373016357421875,0.1266002655029297,2,2
True,False,False,0.002384185791015625,0.04696846008300781,3,3
False,True,True,0.0021457672119140625,0.04482269287109375,3,3
True,False,False,0.0021457672119140625,0.0438690185546875,4,4
False,True,True,0.002384185791015625,0.0438690185546875,4,4
True,False,False,0.002384185791015625,0.044345855712890625,5,5
False,True,True,0.0019073486328125,0.04410743713378906,5,5
True,False,False,0.0021457672119140625,0.04410743713378906,6,6
False,True,True,0.0019073486328125,0.04410743713378906,6,6
True,False,False,0.0021457672119140625,0.04410743713378906,7,7
False,True,True,0.0019073486328125,0.044345855712890625,7,7
True,False,False,0.002384185791015625,0.04482269287109375,8,8
False,True,True,0.0021457672119140625,0.04315376281738281,8,8
True,False,False,0.0021457672119140625,0.04410743713378906,9,9
False,True,True,0.0021457672119140625,0.04410743713378906,9,9
True,False,False,0.0021457672119140625,0.045299530029296875,10,10
False,True,True,0.0021457672119140625,0.043392181396484375,10,10
True,False,False,0.0026226043701171875,0.04410743713378906,11,11
False,True,True,0.0021457672119140625,0.0438690185546875,11,11
True,False,False,0.0026226043701171875,0.044345855712890625,12,12
False,True,True,0.0019073486328125,0.0438690185546875,12,12
True,False,False,0.0026226043701171875,0.044345855712890625,13,13
False,True,True,0.0021457672119140625,0.0438690185546875,13,13
True,False,False,0.0026226043701171875,0.04410743713378906,14,14
False,True,True,0.0021457672119140625,0.0438690185546875,14,14
True,False,False,0.0021457672119140625,0.05078315734863281,15,15
False,True,True,0.0019073486328125,0.04363059997558594,15,15
True,False,False,0.0026226043701171875,0.04887580871582031,16,16
False,True,True,0.0021457672119140625,0.04506111145019531,16,16
True,False,False,0.002384185791015625,0.04482269287109375,17,17
False,True,True,0.0021457672119140625,0.04792213439941406,17,17
True,False,False,0.00286102294921875,0.0438690185546875,18,18
False,True,True,0.0021457672119140625,0.0438690185546875,18,18
True,False,False,0.00286102294921875,0.0438690185546875,19,19
False,True,True,0.0016689300537109375,0.0438690185546875,19,19
True,False,False,0.0021457672119140625,0.048160552978515625,20,20
False,True,True,0.002384185791015625,0.04458427429199219,20,20
True,False,False,0.0026226043701171875,0.04506111145019531,21,21
False,True,True,0.0021457672119140625,0.044345855712890625,21,21
True,False,False,0.0026226043701171875,0.04410743713378906,22,22
False,True,True,0.002384185791015625,0.04482269287109375,22,22
True,False,False,0.0026226043701171875,0.043392181396484375,23,23
False,True,True,0.0021457672119140625,0.04267692565917969,23,23
True,False,False,0.002384185791015625,0.04291534423828125,24,24
False,True,True,0.0021457672119140625,0.04291534423828125,24,24
True,False,False,0.0021457672119140625,0.04315376281738281,25,25
False,True,True,0.0021457672119140625,0.04291534423828125,25,25
True,False,False,0.0021457672119140625,0.043392181396484375,26,26
False,True,True,0.0019073486328125,0.047206878662109375,26,26
True,False,False,0.002384185791015625,0.04291534423828125,27,27
False,True,True,0.0019073486328125,0.04267692565917969,27,27
True,False,False,0.0021457672119140625,0.0514984130859375,28,28
False,True,True,0.0019073486328125,0.04291534423828125,28,28
True,False,False,0.0021457672119140625,0.04744529724121094,29,29
False,True,True,0.0016689300537109375,0.043392181396484375,29,29
True,False,False,0.002384185791015625,0.043392181396484375,30,30
False,True,True,0.0021457672119140625,0.04696846008300781,30,30
True,False,False,0.0021457672119140625,0.04291534423828125,31,31
False,True,True,0.0021457672119140625,0.04291534423828125,31,31
True,False,False,0.002384185791015625,0.04363059997558594,32,32
False,True,True,0.0019073486328125,0.042438507080078125,32,32
True,False,False,0.0021457672119140625,0.04792213439941406,33,33
False,True,True,0.0019073486328125,0.04220008850097656,33,33
True,False,False,0.002384185791015625,0.042438507080078125,34,34
False,True,True,0.0021457672119140625,0.041961669921875,34,34
True,False,False,0.0021457672119140625,0.041961669921875,35,35
False,True,True,0.0021457672119140625,0.04172325134277344,35,35
True,False,False,0.0040531158447265625,0.04744529724121094,36,36
False,True,True,0.0021457672119140625,0.044345855712890625,36,36
True,False,False,0.0026226043701171875,0.05602836608886719,37,37
False,True,True,0.0019073486328125,0.04458427429199219,37,37
True,False,False,0.0021457672119140625,0.04172325134277344,38,38
False,True,True,0.0021457672119140625,0.047206878662109375,38,38
True,False,False,0.0021457672119140625,0.042438507080078125,39,39
False,True,True,0.0016689300537109375,0.042438507080078125,39,39
True,False,False,0.002384185791015625,0.041961669921875,40,40
False,True,True,0.0016689300537109375,0.04220008850097656,40,40
True,False,False,0.0021457672119140625,0.04673004150390625,41,41
False,True,True,0.0016689300537109375,0.041961669921875,41,41
True,False,False,0.002384185791015625,0.04172325134277344,42,42
False,True,True,0.0016689300537109375,0.041961669921875,42,42
True,False,False,0.0021457672119140625,0.04220008850097656,43,43
False,True,True,0.0016689300537109375,0.041961669921875,43,43
True,False,False,0.002384185791015625,0.04267692565917969,44,44
False,True,True,0.0021457672119140625,0.041961669921875,44,44
True,False,False,0.002384185791015625,0.04649162292480469,45,45
False,True,True,0.0019073486328125,0.04172325134277344,45,45
True,False,False,0.0019073486328125,0.041961669921875,46,46
False,True,True,0.0019073486328125,0.04172325134277344,46,46
True,False,False,0.002384185791015625,0.042438507080078125,47,47
False,True,True,0.0016689300537109375,0.04673004150390625,47,47
True,False,False,0.002384185791015625,0.04220008850097656,48,48
False,True,True,0.0019073486328125,0.041961669921875,48,48
True,False,False,0.002384185791015625,0.04220008850097656,49,49
False,True,True,0.0019073486328125,0.042438507080078125,49,49
True,False,False,0.0021457672119140625,0.042438507080078125,50,50
